B009LL9VDG,1180,"Samsung Chromebook (Wi-Fi, 11.6-Inch)",,,
B00FNPD1VW,997,"Acer C720 Chromebook (11.6-Inch, 2GB)",,,
B00FFJ0HUE,852,"ASUS Transformer Book T100TA-C1-GR 10.1"" Detachable 2-in-1 Touchscreen Laptop, 64GB",,,
B007470SMM,698,Apple MacBook Pro MD102LL/A 13.3-Inch Laptop (OLD VERSION),,,
B0074703CM,420,Apple MacBook Pro MD101LL/A 13.3-Inch Laptop,,,
B00B7JQQQA,380,ASUS VivoBook X202E-DH31T-PK 11.6-Inch Touchscreen Laptop (Pink),,,
B001GCTT7G,244,Apple MacBook MB467LL/A 13.3-Inch Laptop,,,
B00746YMHA,240,Apple MacBook Air MD712LL/A 11.6-Inch Laptop (OLD VERSION),,,
B00CU2K6MS,210,"Acer Aspire V5-131-2629 11.6"" Laptop (Black)",,,
B0013FLU96,203,Apple MacBook Pro MB133LL/A 15.4-inch Laptop (OLD VERSION),,,
B00H7WF22K,196,"Acer C720P Chromebook (11.6-Inch Touchscreen, 2GB) Moonstone White",,,
B0013FRA0O,186,Apple MacBook MB402LL/A 13.3-inch Laptop (OLD VERSION),,,
B001U5617K,166,Dell D620 Laptop Duo Core with Windows XP,,,
B00746YHV6,163,Apple MacBook Air MD711LL/A 11.6-Inch Laptop (OLD VERSION),,,
B007Y8DJAO,160,Samsung Series 5 550 Chromebook (3G),,,
B00COR29XI,160,ASUS K55N-DB81 15.6-Inch Laptop (Black),,,
B005CWHZP4,150,Apple MacBook Air MC965LL/A 13.3-Inch Laptop (OLD VERSION),,,
B00G1NC0Y4,134,"Toshiba Satellite C55-A5300 15.6-Inch Laptop (Intel Celeron Processor 1037U, 4GB RAM, 500GB Hard Drive, Multiformat DVD±RW/CD-RW drive, Windows 8)",,,
B004KZJ0UM,133,Dell Latitude D630 14.1-Inch Notebook PC - Silver,,,
B003GSLU3E,131,Apple MacBook Pro MC374LL/A 13.3-Inch Laptop (OLD VERSION),,,
B009M2XB4Y,128,ASUS F55A-AH91 15.6-Inch Laptop,,,
B009MPBFNU,128,Lenovo ThinkPad Twist S230u 12.5-Inch Convertible 2 in 1 Touchscreen Ultrabook (33474HU) Black,,,
B009F1IHZK,121,ASUS Taichi 21-DH51 11.6-Inch Convertible 2 in 1 Touchscreen Ultrabook (2012 Model),,,
B009LL9U50,120,Samsung ATIV Smart PC 500T (Tablet Only),,,
B009RUS452,120,ASUS S56CA-WH31 15.6-Inch Ultrabook,,,
B005CWIGHU,114,Apple MacBook Air MC966LL/A 13.3-Inch Laptop (OLD VERSION),,,
B001P05NJC,110,Apple MacBook MC240LL/A 13.3-Inch Laptop,,,
B000L48Z02,100,"Apple MacBook MB061LL/A 13.3"" Notebook PC (2.0 GHz Intel Core 2 Duo Processor, 1 GB RAM, 80 GB Hard Drive, Combo Drive) White",,,
B009M2XB3U,100,ASUS Republic of Gamers G75VW-AH71 17.3-Inch Gaming Laptop,,,
B00CPIF4G0,100,ASUS VivoBook X200CA-DB01T 11.6-Inch Touchscreen Laptop (Black) 2013 Model,,,
B009AEVMH2,94,ASUS S56CA-DH51 15.6-Inch Ultrabook (Black),,,
B002P3KMVC,90,ASUS UL30A-X5 Thin and Light 13.3-Inch Black Laptop (12 Hours of Battery Life),,,
B004FG793G,90,"Apple MacBook 13"" White Intel Core 2 Duo T7200, 2.0 GHZ, 1GB, 160 Gb Hard Drive, DVD Burner, Wi-fi, Camera, Mac Os 10.6 Snow Leopard and Ilife",,,
B00COQIKB4,90,ASUS G750JW-DB71 17.3-Inch Laptop (Black) 2013 Model,,,
B005MR58MG,89,Acer Aspire S3-951-6646 13.3-Inch Ultrabook,,,
B009AU2JIC,89,"HP Pavilion g6-2210us 15.6-Inch Laptop (AMD A4 4300M 2.5GHZ CPU, 4GB Ram, 640GB Hard Drive, Windows 8) Black",,,
B002C7446A,88,Apple MacBook ProMB991LL/A 13.3 Inch Laptop,,,
B00AFUKXCU,88,HP Envy 11-g010nr 11.6-Inch Detachable 2 in 1 Touchscreen Laptop,,,
B00CM1AANW,88,Acer Aspire V5-122P-0637 11.6-Inch Touchscreen Laptop (Chill Silver),,,
B001NPDKUS,84,HP Pavilion DV7-1240US 17.0-Inch Laptop,,,
B00AM7MM84,83,"Dell Inspiron i15RV-10000BLK 15.6-Inch Laptop (1.8 GHz Intel i5 3337U Processor, 4 GB Ram, 500 GB Hard Drive, Windows 8) Black Matte with Textured Finish",,,
B000V2LZOW,80,"Dell Latitude D600 14.1-Inch Laptop - 512MB RAM, 30GB Hard Drive",,,
B001CGHH98,80,"Apple iBook Laptop, G4 iBook 1.33GHz Processor, 1GB, 40GB, 12.1"" 1024x768 Display, Combo Drive ,WiFi, 56K Modem ,10/100 Ethernet, Bluetooth, Mac OS X 10.4 (Tiger)",,,
B0034NGZWM,80,ASUS Republic of Gamers G51JX-A1 15.6-Inch Gaming Laptop (Blue),,,
B009F1II54,80,ASUS Taichi 21-DH71 11.6-Inch Convertible 2 in 1 Touchscreen Ultrabook,,,
B00BB9OXK2,80,Acer C710-2487 11.6-Inch Chromebook (Iron Gray),,,
B00EYTI0TG,80,Acer C710-2834 11.6-Inch Chromebook (Iron Gray),,,
B0013FJBX8,74,"Apple MacBook Pro MB470LL/A 15.4-Inch Laptop (2.4 GHz Intel Core 2 Duo Processor, 2 GB DDR3 RAM, 250 GB Hard Drive, Slot Loading SuperDrive)",,,
