B0047DVWLW,2408,"Apple iPad 2 2nd generation Tablet, 1 GHz processor, 16GB, Wifi (White)",
B0083PWAPW,2300,Kindle Fire HD Tablet [Previous Generation],
B008GFRE5A,2090,"Kindle Fire HD 8.9"" Tablet",
B0083Q04IQ,2056,Kindle Fire Tablet [Previous Generation],
B00BWYRF7E,1870,"Kindle Fire HDX 7"" Tablet",
B00CYQQMCS,1652,"Kindle Fire HDX 7"" Tablet",
B001I907I2,1590,"Apple iPad 2 MC770LL/A Tablet (32GB, Wifi, Black) 2nd Generation",
B0047DVXR0,1540,"Apple iPad 2 MC763LL/A Tablet (32GB, Wifi + Verizon 3G, black) 2nd Generation",
B00BHJS3C0,1450,"Kindle Fire HDX 8.9"" Tablet",
B00BWYQ9YE,1299,"Kindle Fire HDX 7"" Tablet",
B00DCE8JFY,1290,"7"" Zeepad 7.0 Allwinnwer A13 Boxchip Cortex A8 Android 4.2, 4GB Capacity, 512 MB RAM, Multiple Touch Capactive screen, WIFI, Camera, Skype Video Calling, Netflix Movies. (7'' Dual Camera, Cobalt Blue)",
B007M50PTM,1281,"Samsung Galaxy Tab 2 (10.1-Inch, Wi-Fi)",
B00D02AGU4,1180,"Samsung Galaxy Tab 3 (7-Inch, White) 2013 Model",
B00746W9F2,1020,"Apple iPad mini MD531LL/A (16GB, Wi-Fi, White / Silver)",
B009X3UW2G,926,"ASUS Google Nexus 7 Tablet (7-Inch, 32GB) 2012 Model",
B00DB3SH2G,826,ASUS Google Nexus 7 Android Tablet,
B0047DVWZS,820,"Apple iPad 2 MC916LL/A Tablet (64GB, Wifi, Black) 2nd Generation",
B0096V634Q,810,"Apple iPad mini ME217LL/A (64GB, Wi-Fi + Sprint 4G, Black)",
B0047DVW7Q,795,"Apple iPad 2 MC755LL/A Tablet (16GB, Wifi + Verizon 3G, Black) 2nd Generation",
B00CB1HS8S,790,"Zeepad 7'' Allwinnwer A13 Boxchip Cortex A8 Android 4.0, 4gb Capacity, 512 Mb Ram, Multiple Touch Capactive Screen, Wifi, Skype Video Calling, Netflix Movies with DUAL CAMERA (Pink)",
B0096V3D8K,788,"Apple iPad mini MD542LL/A (64GB, Wi-Fi + Verizon 4G, Black)",
B007M506WS,773,"Samsung Galaxy Note 10.1 (32GB, Deep Grey)",
B0052P6DQI,750,Toshiba Thrive 10.1-Inch 16 GB Android Tablet AT105-T1016,
B008DWG5HE,720,"Samsung Galaxy Note 10.1 (16GB, Deep Grey)",
B00E0FDYU4,715,"ASUS Memo Pad HD 7-Inch 16 GB Tablet, Pink (ME173X-A1-PK)",
B004UL34VW,694,Blackberry Playbook 7-Inch Tablet (32GB),
B002C7481G,680,"Apple iPad (first generation) MB292LL/A Tablet (16GB, Wifi)",
B00746VDEU,638,"Apple iPad MD370LL/A (32GB, Wi-Fi + AT&T 4G, White) 3rd Generation",
B00365F6LE,610,"Apple iPad (First Generation) MC497LL/A Tablet (64GB, Wifi + 3G)",
B00B7MTEK2,606,"Apple iPad with Retina Display ME410LL/A (128GB, Wi-Fi + Sprint, Black) 4th Generation",
B00E0EY7Z6,604,"ASUS MeMOPad HD 7-Inch 16 GB Tablet, Blue (ME173X-A1-BL)",
B00D029NNA,600,"Samsung Galaxy Tab 3 (10.1-Inch, White) 2013 Model",
B00CYQPMJC,590,"Kindle Fire HDX 7"" Tablet",
B007P4YAPK,584,ASUS Transformer TF300 T-B1-BL 10.1-Inch 32 GB Tablet (Blue),
B0067XX3AI,490,"Le Pan II 9.7"" 8 GB Tablet with Android 4.0.4 Ice Cream Sandwich",
B00D02AHEO,477,"Samsung Galaxy Tab 3 (8-Inch, White) 2013 Model",
B00DXFDHV8,457,ASUS MeMO Pad FHD 10 ME302C-A1-BL 10.1-Inch 16GB Tablet (Blue),
B008F4NL0O,430,ASUS TF700T-B1-CG 10.1-Inch Tablet (Champagne),
B0067PLOW0,429,ASUS Transformer Prime TF201-C1-CG 10.1-Inch 64GB Tablet (Champagne),
B00DEZ5DRS,417,"Samsung Galaxy Tab 3 (8-Inch, Gold-Brown)",
B00G4G16G6,406,"Apple iPad Air MF532LL/A (32GB, Wi-Fi + Verizon, White with Silver) NEWEST VERSION",
B00G2Y5YIG,394,"Apple iPad Air MD789LL/A (32 GB, Wi-Fi, White with Silver)",
B00BQH8UEY,390,"Samsung Galaxy Note 8.0 (16GB, White) 2013 Model",
B00F3SOHPI,384,"Samsung Galaxy Note 10.1 2014 Edition (32GB, White)",
B00G2YB4I0,380,"Apple iPad Air ME991LL/A (16GB, Wi-Fi + AT&T, Black with Space Gray) NEWEST VERSION",
B00BDS25VA,360,ASUS MeMO Pad ME172V-A1-GR 7.0-Inch 16 GB Tablet ( Grey ),
B00ACVI202,353,"Google Nexus 10 (Wi-Fi only, 32 GB)",
B00G4G7TVC,346,"Apple iPad Air MF539LL/A (64GB, Wi-Fi + T-Mobile, White with Silver) NEWEST VERSION",
B00G2YFLXO,295,"Apple iPad Air MF012LL/A (64GB, Wi-Fi + AT&T, White with Silver) NEWEST VERSION",
B00BR3XMK4,290,ASUS MeMO Pad ME172V-A1-WH 7-Inch 16 GB Tablet (White),
B00G3Q4FSI,280,"Dragon Touch® 7'' Green Dual Core Y88 Google Android 4.1 Tablet PC, Dual Camera, HD 1024x600, Google Play Pre-load, HDMI [By TabletExpress] (Red)",
B00GV0KAK8,280,"Dragon Touch® 7'' Green Dual Core Y88 Google Android 4.1 Tablet PC, Dual Camera, HD 1024x600, Google Play Pre-load, HDMI [By TabletExpress]",
B00J1W0NYG,267,"Alldaymall® 7 Inch Android 4.2 Tablet PC MID with Capacitive Touchscreen (Dual Core CPU, 1.5GHz, Wi-Fi, Dual Camera) Black",
B00CP4J7OY,262,LeapFrog LeapPad2 Power Learning Tablet,
B00G2Y4WNY,260,"Apple iPad Air MD788LL/A (16GB, Wi-Fi, White with Silver) NEWEST VERSION",
B009SD74H2,250,Dragon Touch® 9'' Google Android 4.2 Jelly Bean 8GB MID Capacitive Touch Screen G-sensor Dual Camera A13 Tablet MID948B [By TabletExpress],
B00F2PFDLO,246,"NORIA T2 7"" Android JellyBean Tablet PC - Multi Touch. 8GB Flash Local Memory. HDMI Port (Bonus HDMI Cable Included). Dual Core CPU. Integrated Dual Camera 2MP - Black - September 2013.",
B004CFF6ZI,231,Velocity Micro T301 Cruz 7-Inch Android 2.0 Tablet (Black),
B00887IF0Y,215,Kurio Kids Tablet with Android 4.0 - 7-Inch 4 GB,
B008HSO41I,206,"10"" GOOGLE ANDROID 4.0 TABLET 4GB FLYTOUCH 10.1 VC882 EPAD LAPTOP WIFI CAMERA HDMI Support External 3G, Flash 10.1 Cortex A8,WIFI, HDMI, Skype Video Calling &Netflix Movies",
B003COZM2C,199,Archos 7 8GB Home Tablet with Android (Black),
B00ET9L9U8,195,"Matricom® G-Tab Quantum 10 Android 4.2 HD+ IPS Quad Core Tablet PC (10.1-Inch IPS, WiFi, Bluetooth)",
B0093NZNAM,188,"TURCOM 7"" Capacitive A10 Tablet PC 4.0 Android WiFi 3G MID Allwinner (4GB Black)",
